Date,Call Spread,CBLO Spread,Market Repo Spread,P/E Ratio,NSE Return,SMC to GDP Ratio (Buffet Indicator),Forex CMAX,Implied Volatility,Exchange Rates,Index
Apr-15,0.189514476,-0.095626763,-0.095518317,0.078506311,0.083802647,0.000604633,0.23418651,0.005457224,0.198742013,0.599668734
May-15,0.209567978,-0.096884495,-0.107717005,0.093596144,-0.040990308,-0.030081791,0.161922669,0.0150527,0.16213536,0.366601251
Jun-15,0.260221073,-0.141910615,-0.14449796,0.084164998,0.030399421,-0.034266738,0.154659877,0.010487452,0.158456252,0.377713759
Jul-15,0.259732828,-0.132558347,-0.124746046,0.059329649,-0.020222387,-0.051230698,0.167299695,0.050348834,0.164859197,0.372812725
Aug-15,0.229693486,-0.104704307,-0.107362233,0.075048224,0.138133012,0.004403557,0.072810645,-0.119157151,0.116993933,0.305859165
Sep-15,0.194291834,-0.090733305,-0.082695746,0.115916521,0.021313455,0.004079635,0.058007873,-0.035122762,0.109495301,0.294552806
Oct-15,0.186695844,-0.083957486,-0.078877801,0.091081171,-0.011136421,-0.020239931,0.072383918,-0.005617731,0.116777766,0.267109329
Nov-15,0.147684967,-0.064150141,-0.067073474,0.12629078,0.04616079,-0.006886126,0.000749959,0.018899345,0.080490192,0.282166292
Dec-15,0.172876493,-0.071872322,-0.070942119,0.13446444,0.013525485,0.067763143,-0.027817717,0.062184664,0.06601868,0.346200746
Jan-16,0.153624787,-0.050281577,-0.071638695,0.158356674,0.105497707,0.103820165,-0.076888969,0.005203599,0.041160684,0.368854377
Feb-16,0.162407287,-0.082367332,-0.061578014,0.189793825,0.15741751,0.160416812,-0.144538202,-0.044126447,0.00689165,0.34431709
Mar-16,0.100638975,-0.102721292,-0.060149591,0.156784817,-0.183213483,0.089470714,-0.054580221,0.016320825,0.052461614,0.015012357
Apr-16,0.009919821,0.031561837,0.055584403,0.128491381,-0.010580138,0.072188752,-0.035119007,0.017081699,0.068538015,0.337666764
May-16,-0.01520029,0.041172419,0.045848454,0.121575208,-0.057122533,0.037885987,-0.065977251,0.025409051,0.052949184,0.18654023
Jun-16,0.028684127,-0.006858912,-0.007440788,0.089823685,-0.012805272,0.027830489,-0.086562973,0.02126651,0.042549781,0.096486647
Jul-16,0.02723489,-0.029324368,0.011815713,0.064359593,-0.062314513,-0.010213061,-0.08112889,0.04447319,0.045294946,0.0101975
Aug-16,-0.001749853,0.032441722,0.048727973,0.054299705,-0.01558669,-0.025206046,-0.067029997,0.072794639,0.052417363,0.151108815
Sep-16,-0.004402052,0.044385538,0.051329113,0.04078173,0.053021621,-0.004721721,-0.054371211,0.006218099,0.058812272,0.19105339
Oct-16,-0.016492958,0.047782022,0.050333782,0.06373085,0.010373211,-0.012124218,-0.052442386,0.034793173,0.059786667,0.185740143
Nov-16,0.015000875,0.022264742,0.023333789,0.106485375,0.104941424,0.057166495,-0.115359356,0.011797847,0.028002551,0.253633742
Dec-16,0.01269765,-0.008584228,0.014921966,0.122203951,0.024836585,0.140904175,-0.127232342,0.035215881,0.022004609,0.236968246
Jan-17,0.050189038,0.005612305,-0.00060552,0.092338657,-0.068989916,0.10295141,-0.144538202,0.012220555,0.013262112,0.062440439
Feb-17,0.061200863,-0.010333397,-0.02984462,0.067503308,-0.052857692,0.05742589,-0.070893285,0.063495059,0.050465724,0.136161852
Mar-17,0.07383781,-0.053084663,-0.099566126,0.059958392,-0.045255149,0.016026041,0.000157627,0.086701739,0.086358908,0.125134578
Apr-17,0.001058357,0.035696859,-0.072771994,0.063102107,-0.010209282,-0.005034491,-0.107492665,0.11307873,0.13287163,0.150299251
May-17,-0.046306792,0.072752103,0.084986106,0.035437414,-0.047109428,-0.047749276,-0.098114091,0.097818964,0.137400723,0.189115726
Jun-17,-0.072033119,0.09020845,0.107116961,0.033551185,0.035405973,-0.048068391,-0.099326576,0.098326214,0.136815191,0.281995889
Jul-17,-0.065612006,0.081100407,0.09729435,0.008715836,-0.0921684,-0.105768926,-0.099825107,0.095494069,0.13657444,0.055804663
Aug-17,-0.093692742,0.111357487,0.089526199,0.000227805,0.045419078,-0.091296459,-0.06784402,0.094606382,0.152018719,0.24032245
Sep-17,-0.086241326,0.081600169,0.080742784,-0.019263228,0.040227098,-0.081660477,-0.094410913,0.085602697,0.139189059,0.145785861
Oct-17,-0.089506428,0.073551856,0.089181282,-0.027751259,-0.087532703,-0.15371925,-0.144538202,0.086363572,0.114981631,-0.1389695
Nov-17,-0.086885432,0.087254299,0.089358667,-0.030580602,0.035591401,-0.160632333,-0.128358181,0.067595328,0.122795273,-0.003861579
Dec-17,-0.098694695,0.102567474,0.108721733,-0.032781203,-0.038950602,-0.099003616,-0.084996318,0.082474657,0.143735547,0.083072975
Jan-18,-0.091994404,0.096842922,0.094120077,-0.058559667,-0.071400478,-0.149050104,-0.043524241,0.027353508,0.163763206,-0.03244918
Feb-18,-0.106926108,0.111651223,0.105378826,-0.007317111,0.106053991,-0.091868837,-0.096420628,0.063283705,0.138218529,0.22205359
Mar-18,-0.092314638,0.08741425,0.083327549,0.012802666,0.083060935,-0.042637618,-0.142013736,0.030270195,0.116200744,0.136110346
Apr-18,-0.087504278,0.074094899,0.073108153,-0.0195776,-0.098658375,-0.111434924,0.34838059,0.087673968,0.096095299,0.362177731
